match_date,event,round,player_a,player_b,a_points,b_points,point_diff,winner
2024-01-16,India Open 2024,Final,Shi Yu Qi,Lee Cheuk Yiu,81824.0,57564.0,24260.0,1
2024-01-16,India Open 2024,Semifinal,Shi Yu Qi,Prannoy H. S.,81824.0,75487.0,6337.0,1
2024-01-16,India Open 2024,Semifinal,Naraoka Kodai,Lee Cheuk Yiu,83515.0,57564.0,25951.0,0
2024-01-16,India Open 2024,Quarterfinal,Prannoy H. S.,Wang Tzu Wei,75487.0,46040.0,29447.0,1
2024-01-16,India Open 2024,Quarterfinal,Shi Yu Qi,Kenta Nishimoto,81824.0,67217.0,14607.0,1
2024-01-16,India Open 2024,Quarterfinal,Anthony Sinisuka Ginting,Lee Cheuk Yiu,83331.0,57564.0,25767.0,0
2024-01-16,India Open 2024,Quarterfinal,Naraoka Kodai,Jonatan Christie,83515.0,82111.0,1404.0,1
2024-01-16,India Open 2024,Round of 16,Wang Tzu Wei,Su Li Yang,46040.0,38150.0,7890.0,1
2024-01-16,India Open 2024,Round of 16,Prannoy H. S.,Priyanshu Rajawat,75487.0,42110.0,33377.0,1
2024-01-16,India Open 2024,Round of 16,Shi Yu Qi,Rasmus Gemke,81824.0,45709.0,36115.0,1
2024-01-16,India Open 2024,Round of 16,Kunlavut Vitidsarn,Lee Cheuk Yiu,81578.0,57564.0,24014.0,0
2024-01-16,India Open 2024,Round of 16,Anthony Sinisuka Ginting,Kenta Nishimoto,83331.0,67217.0,16114.0,1
2024-01-16,India Open 2024,Round of 16,Jonatan Christie,Lee Zii Jia,82111.0,68226.0,13885.0,0
2024-01-16,India Open 2024,Round of 16,Naraoka Kodai,Takuma Obayashi,83515.0,38220.0,45295.0,1
2024-01-16,India Open 2024,Round of 32,Wang Tzu Wei,Kiran George,46040.0,36490.0,9550.0,1
2024-01-16,India Open 2024,Round of 32,Christo Popov,Su Li Yang,46430.0,38150.0,8280.0,0
2024-01-16,India Open 2024,Round of 32,Prannoy H. S.,Chou Tien Chen,75487.0,61737.0,13750.0,1
2024-01-16,India Open 2024,Round of 32,Lakshya Sen,Priyanshu Rajawat,57851.0,42110.0,15741.0,0
2024-01-16,India Open 2024,Round of 32,Lee Cheuk Yiu,Kidambi Srikanth,57564.0,48183.0,9381.0,1
2024-01-16,India Open 2024,Round of 32,Kunlavut Vitidsarn,Magnus Johannessen,81578.0,39950.0,41628.0,1
2024-01-16,India Open 2024,Round of 32,Kenta Nishimoto,Lu Guang Zu,67217.0,55570.0,11647.0,1
2024-01-16,India Open 2024,Round of 32,Anthony Sinisuka Ginting,Kanta Tsuneyama,83331.0,63821.0,19510.0,1
2024-01-16,India Open 2024,Round of 32,Lin Chun Yi,Rasmus Gemke,51528.0,45709.0,5819.0,0
2024-01-16,India Open 2024,Round of 32,Shi Yu Qi,Weng Hong Yang,81824.0,57040.0,24784.0,1
2024-01-16,India Open 2024,Round of 32,Lee Zii Jia,Brian Yang,68226.0,47686.0,20540.0,1
2024-01-16,India Open 2024,Round of 32,Jonatan Christie,Ng Ka Long Angus,82111.0,54522.0,27589.0,1
2024-01-16,India Open 2024,Round of 32,Naraoka Kodai,Toma Junior Popov,83515.0,47907.0,35608.0,1
2024-01-16,India Open 2024,Round of 32,Li Shifeng,Kantaphon Wangcharoen,83398.0,38024.0,45374.0,1
2024-01-16,India Open 2024,Round of 32,Lee Cheuk Yiu,Koki Watanabe,57564.0,48920.0,8644.0,0
2024-01-16,India Open 2024,Round of 16,Li Shifeng,Koki Watanabe,83398.0,48920.0,34478.0,0
2024-03-12,All England Open 2024,Final,Anthony Sinisuka Ginting,Jonatan Christie,81501.0,73131.0,8370.0,0
2024-03-12,All England Open 2024,Semifinal,Anthony Sinisuka Ginting,Christo Popov,81501.0,50230.0,31271.0,1
2024-03-12,All England Open 2024,Semifinal,Jonatan Christie,Lakshya Sen,73131.0,56321.0,16810.0,1
2024-03-12,All England Open 2024,Quarterfinal,Viktor Axelsen,Anthony Sinisuka Ginting,97015.0,81501.0,15514.0,0
2024-03-12,All England Open 2024,Quarterfinal,Koki Watanabe,Christo Popov,54981.0,50230.0,4751.0,0
2024-03-12,All England Open 2024,Quarterfinal,Lee Zii Jia,Lakshya Sen,70096.0,56321.0,13775.0,0
2024-03-12,All England Open 2024,Quarterfinal,Shi Yu Qi,Jonatan Christie,90184.0,73131.0,17053.0,0
2024-03-12,All England Open 2024,Round of 16,Viktor Axelsen,Weng Hong Yang,97015.0,61750.0,35265.0,1
2024-03-12,All England Open 2024,Round of 16,Anthony Sinisuka Ginting,Kenta Nishimoto,81501.0,67182.0,14319.0,1
2024-03-12,All England Open 2024,Round of 16,Koki Watanabe,Toma Junior Popov,54981.0,49325.0,5656.0,1
2024-03-12,All England Open 2024,Round of 16,Christo Popov,Su Li Yang,50230.0,42560.0,7670.0,1
2024-03-12,All England Open 2024,Round of 16,Lee Zii Jia,Loh Kean Yew,70096.0,66702.0,3394.0,1
2024-03-12,All England Open 2024,Round of 16,Anders Antonsen,Lakshya Sen,85944.0,56321.0,29623.0,0
2024-03-12,All England Open 2024,Round of 16,Kunlavut Vitidsarn,Jonatan Christie,73398.0,73131.0,267.0,0
2024-03-12,All England Open 2024,Round of 16,Shi Yu Qi,Chico Aura Dwi Wardoyo,90184.0,41729.0,48455.0,1
2024-03-12,All England Open 2024,Round of 32,Viktor Axelsen,Kidambi Srikanth,97015.0,49623.0,47392.0,1
2024-03-12,All England Open 2024,Round of 32,Weng Hong Yang,Lin Chun Yi,61750.0,54136.0,7614.0,1
2024-03-12,All England Open 2024,Round of 32,Anthony Sinisuka Ginting,Lee Cheuk Yiu,81501.0,63499.0,18002.0,1
2024-03-12,All England Open 2024,Round of 32,Kenta Nishimoto,Brian Yang,67182.0,53273.0,13909.0,1
2024-03-12,All England Open 2024,Round of 32,Li Shifeng,Toma Junior Popov,83948.0,49325.0,34623.0,0
2024-03-12,All England Open 2024,Round of 32,Koki Watanabe,Wang Tzu Wei,54981.0,48960.0,6021.0,1
2024-03-12,All England Open 2024,Round of 32,Prannoy H. S.,Su Li Yang,77647.0,42560.0,35087.0,0
2024-03-12,All England Open 2024,Round of 32,Lee Cheuk Yiu,Christo Popov,63499.0,50230.0,13269.0,0
2024-03-12,All England Open 2024,Round of 32,Loh Kean Yew,Ng Ka Long Angus,66702.0,49136.0,17566.0,1
2024-03-12,All England Open 2024,Round of 32,Naraoka Kodai,Lee Zii Jia,81015.0,70096.0,10919.0,0
2024-03-12,All England Open 2024,Round of 32,Lakshya Sen,Magnus Johannessen,56321.0,41540.0,14781.0,1
2024-03-12,All England Open 2024,Round of 32,Anders Antonsen,Kanta Tsuneyama,85944.0,56981.0,28963.0,1
2024-03-12,All England Open 2024,Round of 32,Jonatan Christie,Chou Tien Chen,73131.0,62398.0,10733.0,1
2024-03-12,All England Open 2024,Round of 32,Kunlavut Vitidsarn,Lu Guang Zu,73398.0,59041.0,14357.0,1
2024-03-12,All England Open 2024,Round of 32,Priyanshu Rajawat,Chico Aura Dwi Wardoyo,44710.0,41729.0,2981.0,0
2024-03-12,All England Open 2024,Round of 32,Shi Yu Qi,Rasmus Gemke,90184.0,46729.0,43455.0,1
2024-04-09,Badminton Asia Championships 2024,Final,Jonatan Christie,Li Shifeng,81531.0,77998.0,3533.0,1
2024-04-09,Badminton Asia Championships 2024,Semifinal,Shi Yu Qi,Jonatan Christie,90984.0,81531.0,9453.0,0
2024-04-09,Badminton Asia Championships 2024,Semifinal,Naraoka Kodai,Li Shifeng,81015.0,77998.0,3017.0,0
2024-04-09,Badminton Asia Championships 2024,Quarterfinal,Shi Yu Qi,Kunlavut Vitidsarn,90984.0,77948.0,13036.0,1
2024-04-09,Badminton Asia Championships 2024,Quarterfinal,Jonatan Christie,Lee Zii Jia,81531.0,68296.0,13235.0,1
2024-04-09,Badminton Asia Championships 2024,Quarterfinal,Naraoka Kodai,Lin Chun Yi,81015.0,57286.0,23729.0,1
2024-04-09,Badminton Asia Championships 2024,Quarterfinal,Anthony Sinisuka Ginting,Li Shifeng,85101.0,77998.0,7103.0,0
2024-04-09,Badminton Asia Championships 2024,Round of 16,Shi Yu Qi,Kenta Nishimoto,90984.0,64982.0,26002.0,1
2024-04-09,Badminton Asia Championships 2024,Round of 16,Kunlavut Vitidsarn,Nguyen Hai Dang,77948.0,21200.0,56748.0,1
